,Country,Population
0,"1,439,323,776",China
1,"1,380,004,385",India
2,"331,002,651",United States
3,"273,523,615",Indonesia
4,"220,892,340",Pakistan
5,"212,559,417",Brazil
6,"206,139,589",Nigeria
7,"164,689,383",Bangladesh
8,"145,934,462",Russia
9,"128,932,753",Mexico
10,"126,476,461",Japan
11,"114,963,588",Ethiopia
12,"109,581,078",Philippines
13,"102,334,404",Egypt
14,"97,338,579",Vietnam
15,"89,561,403",DR Congo
16,"84,339,067",Turkey
17,"83,992,949",Iran
18,"83,783,942",Germany
19,"69,799,978",Thailand
20,"67,886,011",United Kingdom
21,"65,273,511",France
22,"60,461,826",Italy
23,"59,734,218",Tanzania
24,"59,308,690",South Africa
25,"54,409,800",Myanmar
26,"53,771,296",Kenya
27,"51,269,185",South Korea
28,"50,882,891",Colombia
29,"46,754,778",Spain
30,"45,741,007",Uganda
31,"45,195,774",Argentina
32,"43,851,044",Algeria
33,"43,849,260",Sudan
34,"43,733,762",Ukraine
35,"40,222,493",Iraq
36,"38,928,346",Afghanistan
37,"37,846,611",Poland
38,"37,742,154",Canada
39,"36,910,560",Morocco
40,"34,813,871",Saudi Arabia
41,"33,469,203",Uzbekistan
42,"32,971,854",Peru
43,"32,866,272",Angola
44,"32,365,999",Malaysia
45,"31,255,435",Mozambique
46,"31,072,940",Ghana
47,"29,825,964",Yemen
48,"29,136,808",Nepal
49,"28,435,940",Venezuela
50,"27,691,018",Madagascar
51,"26,545,863",Cameroon
52,"26,378,274",Côte d'Ivoire
53,"25,778,816",North Korea
54,"25,499,884",Australia
55,"24,206,644",Niger
56,"23,816,775",Taiwan
57,"21,413,249",Sri Lanka
58,"20,903,273",Burkina Faso
59,"20,250,833",Mali
60,"19,237,691",Romania
61,"19,129,952",Malawi
62,"19,116,201",Chile
63,"18,776,707",Kazakhstan
64,"18,383,955",Zambia
65,"17,915,568",Guatemala
66,"17,643,054",Ecuador
67,"17,500,658",Syria
68,"17,134,872",Netherlands
69,"16,743,927",Senegal
70,"16,718,965",Cambodia
71,"16,425,864",Chad
72,"15,893,222",Somalia
73,"14,862,924",Zimbabwe
74,"13,132,795",Guinea
75,"12,952,218",Rwanda
76,"12,123,200",Benin
77,"11,890,784",Burundi
78,"11,818,619",Tunisia
79,"11,673,021",Bolivia
80,"11,589,623",Belgium
81,"11,402,528",Haiti
82,"11,326,616",Cuba
83,"11,193,725",South Sudan
84,"10,847,910",Dominican Republic
85,"10,708,981",Czech Republic (Czechia)
86,"10,423,054",Greece
87,"10,203,134",Jordan
88,"10,196,709",Portugal
89,"10,139,177",Azerbaijan
90,"10,099,265",Sweden
91,"9,904,607",Honduras
92,"9,890,402",United Arab Emirates
93,"9,660,351",Hungary
94,"9,537,645",Tajikistan
95,"9,449,323",Belarus
96,"9,006,398",Austria
97,"8,947,024",Papua New Guinea
98,"8,737,371",Serbia
99,"8,655,535",Israel
100,"8,654,622",Switzerland
101,"8,278,724",Togo
102,"7,976,983",Sierra Leone
103,"7,496,981",Hong Kong
104,"7,275,560",Laos
105,"7,132,538",Paraguay
106,"6,948,445",Bulgaria
107,"6,871,292",Libya
108,"6,825,445",Lebanon
109,"6,624,554",Nicaragua
110,"6,524,195",Kyrgyzstan
111,"6,486,205",El Salvador
112,"6,031,200",Turkmenistan
113,"5,850,342",Singapore
114,"5,792,202",Denmark
115,"5,540,720",Finland
116,"5,518,087",Congo
117,"5,459,642",Slovakia
118,"5,421,241",Norway
119,"5,106,626",Oman
120,"5,101,414",State of Palestine
